379.5,2.487,4.802,3.297,1.488,2.939,1.285,3.9
379.6,2.739,5.206,3.601,1.636,3.223,1.414,4.263
379.7,3.014,5.64,3.929,1.801,3.528,1.559,4.651
379.8,3.311,6.099,4.283,1.982,3.859,1.721,5.067
379.9,3.63,6.587,4.66,2.179,4.213,1.898,5.511
380,3.975,7.103,5.061,2.394,4.59,2.09,5.983
380.1,4.346,7.648,5.492,2.629,4.996,2.304,6.485
380.2,4.744,8.221,5.946,2.884,5.429,2.536,7.018
380.3,5.168,8.824,6.432,3.16,5.891,2.788,7.579
380.4,5.621,9.459,6.944,3.459,6.38,3.061,8.171
380.5,6.104,10.123,7.487,3.783,6.898,3.358,8.794
380.6,6.615,10.815,8.06,4.129,7.448,3.676,9.448
380.7,7.156,11.539,8.664,4.5,8.026,4.019,10.135
380.8,7.729,12.294,9.296,4.897,8.635,4.387,10.855
380.9,8.333,13.08,9.961,5.318,9.276,4.784,11.604
381,8.968,13.896,10.655,5.769,9.949,5.206,12.386
381.1,9.634,14.745,11.383,6.248,10.652,5.656,13.199
381.2,10.332,15.619,12.138,6.758,11.388,6.134,14.043
381.3,11.061,16.525,12.927,7.297,12.152,6.642,14.919
381.4,11.824,17.462,13.744,7.867,12.95,7.181,15.826
381.5,12.619,18.428,14.592,8.466,13.782,7.747,16.765
381.6,13.446,19.427,15.472,9.096,14.642,8.347,17.731
381.7,14.304,20.45,16.385,9.756,15.533,8.977,18.733
381.8,15.193,21.501,17.329,10.452,16.46,9.637,19.763
381.9,16.116,22.58,18.3,11.176,17.412,10.33,20.824
382,17.072,23.688,19.301,11.935,18.396,11.057,21.913
382.1,18.057,24.815,20.329,12.723,19.409,11.815,23.03
382.2,19.075,25.974,21.39,13.544,20.454,12.607,24.174
382.3,20.125,27.151,22.479,14.4,21.529,13.431,25.34
382.4,21.202,28.355,23.596,15.286,22.633,14.285,26.537
382.5,22.313,29.578,24.741,16.203,23.766,15.173,27.759
382.6,23.453,30.824,25.912,17.155,24.924,16.095,29.004
382.7,24.62,32.094,27.109,18.138,26.108,17.049,30.272
382.8,25.813,33.38,28.329,19.154,27.318,18.034,31.561
382.9,27.032,34.683,29.575,20.201,28.557,19.057,32.87
383,28.275,36,30.843,21.278,29.814,20.107,34.2
383.1,29.544,37.329,32.127,22.385,31.096,21.188,35.542
383.2,30.838,38.669,33.43,23.52,32.397,22.302,36.899
383.3,32.149,40.019,34.752,24.683,33.719,23.444,38.268
383.4,33.482,41.383,36.087,25.876,35.054,24.612,39.642
383.5,34.833,42.747,37.437,27.095,36.401,25.809,41.032
383.6,36.195,44.119,38.799,28.337,37.77,27.034,42.426
383.7,37.575,45.493,40.17,29.602,39.148,28.281,43.825
383.8,38.966,46.866,41.55,30.891,40.535,29.553,45.226
383.9,40.364,48.235,42.931,32.204,41.927,30.849,46.628
384,41.774,49.599,44.319,33.533,43.324,32.167,48.029
384.1,43.187,50.96,45.708,34.88,44.722,33.502,49.428
384.2,44.608,52.318,47.099,36.241,46.123,34.854,50.824
384.3,46.025,53.662,48.486,37.619,47.527,36.223,52.209
384.4,47.45,55.002,49.873,39.003,48.929,37.61,53.59
384.5,48.872,56.328,51.254,40.401,50.328,39.005,54.958
384.6,50.288,57.639,52.629,41.805,51.717,40.41,56.316
384.7,51.7,58.929,53.999,43.222,53.096,41.826,57.657
384.8,53.101,60.205,55.357,44.64,54.465,43.245,58.984
384.9,54.495,61.462,56.697,46.059,55.826,44.67,60.292
385,55.876,62.703,58.028,47.478,57.173,46.097,61.581
385.1,57.245,63.925,59.341,48.9,58.508,47.527,62.845
385.2,58.597,65.121,60.64,50.314,59.825,48.953,64.088
385.3,59.933,66.295,61.916,51.727,61.121,50.374,65.309
385.4,61.249,67.439,63.17,53.134,62.395,51.788,66.504
385.5,62.541,68.561,64.398,54.527,63.647,53.197,67.674
385.6,63.812,69.652,65.604,55.908,64.88,54.597,68.822
385.7,65.06,70.718,66.785,57.277,66.086,55.986,69.931
385.8,66.281,71.754,67.935,58.63,67.267,57.358,71.014
385.9,67.48,72.758,69.066,59.967,68.42,58.713,72.07
386,68.652,73.738,70.168,61.282,69.548,60.057,73.091
386.1,69.795,74.687,71.237,62.576,70.639,61.375,74.088
386.2,70.914,75.606,72.275,63.853,71.706,62.674,75.046
386.3,71.997,76.495,73.288,65.106,72.745,63.954,75.975
386.4,73.051,77.35,74.266,66.331,73.75,65.205,76.874
386.5,74.075,78.178,75.22,67.531,74.724,66.435,77.744
386.6,75.064,78.975,76.144,68.707,75.67,67.638,78.589
386.7,76.022,79.741,77.034,69.849,76.588,68.817,79.391
386.8,76.953,80.479,77.895,70.967,77.466,69.96,80.165
