503.2,1.373,1.163,1.311,1.341,1.123,1.334,0.995,1.125,1.602
503.25,1.398,1.187,1.335,1.366,1.147,1.363,1.019,1.151,1.63
503.3,1.421,1.213,1.36,1.39,1.172,1.392,1.045,1.18,1.659
503.35,1.443,1.239,1.384,1.416,1.196,1.421,1.071,1.208,1.686
503.4,1.466,1.265,1.41,1.44,1.222,1.451,1.099,1.236,1.715
503.45,1.489,1.289,1.434,1.466,1.247,1.482,1.126,1.263,1.743
503.5,1.514,1.315,1.459,1.491,1.273,1.511,1.152,1.292,1.772
503.55,1.537,1.341,1.485,1.515,1.295,1.54,1.181,1.32,1.801
503.6,1.559,1.366,1.509,1.538,1.32,1.57,1.208,1.349,1.828
503.65,1.582,1.39,1.535,1.563,1.346,1.599,1.237,1.376,1.855
503.7,1.605,1.414,1.558,1.588,1.37,1.63,1.265,1.404,1.883
503.75,1.628,1.44,1.582,1.613,1.396,1.659,1.294,1.434,1.912
503.8,1.649,1.465,1.605,1.637,1.422,1.688,1.323,1.463,1.941
503.85,1.672,1.489,1.63,1.66,1.447,1.718,1.352,1.494,1.97
503.9,1.695,1.514,1.654,1.685,1.471,1.746,1.381,1.524,1.996
503.95,1.72,1.538,1.677,1.707,1.497,1.776,1.411,1.553,2.025
504,1.743,1.563,1.703,1.732,1.521,1.805,1.44,1.582,2.052
504.05,1.765,1.587,1.727,1.756,1.547,1.834,1.469,1.613,2.081
504.1,1.788,1.611,1.753,1.781,1.572,1.863,1.5,1.642,2.11
504.15,1.813,1.636,1.778,1.805,1.596,1.892,1.529,1.669,2.141
504.2,1.839,1.66,1.801,1.83,1.62,1.921,1.558,1.698,2.17
504.25,1.863,1.683,1.825,1.852,1.645,1.95,1.588,1.727,2.2
504.3,1.889,1.707,1.851,1.878,1.669,1.978,1.617,1.756,2.229
504.35,1.913,1.732,1.875,1.904,1.694,2.007,1.646,1.785,2.258
504.4,1.941,1.755,1.901,1.93,1.717,2.036,1.677,1.813,2.29
504.45,1.967,1.779,1.927,1.956,1.741,2.065,1.706,1.84,2.322
504.5,1.994,1.805,1.953,1.982,1.765,2.094,1.735,1.869,2.356
504.55,2.023,1.83,1.981,2.008,1.788,2.124,1.764,1.898,2.39
504.6,2.052,1.854,2.008,2.036,1.811,2.153,1.793,1.926,2.425
504.65,2.083,1.878,2.037,2.065,1.836,2.184,1.822,1.952,2.46
504.7,2.115,1.903,2.065,2.094,1.86,2.216,1.851,1.979,2.496
504.75,2.147,1.927,2.095,2.124,1.884,2.245,1.878,2.005,2.534
504.8,2.18,1.953,2.126,2.156,1.909,2.275,1.907,2.032,2.573
504.85,2.217,1.978,2.156,2.188,1.933,2.307,1.935,2.058,2.615
504.9,2.254,2.005,2.187,2.222,1.961,2.341,1.962,2.086,2.655
504.95,2.292,2.032,2.222,2.255,1.988,2.374,1.993,2.113,2.699
505,2.332,2.061,2.257,2.29,2.016,2.408,2.022,2.142,2.744
505.05,2.373,2.089,2.293,2.327,2.043,2.441,2.051,2.17,2.789
505.1,2.417,2.119,2.33,2.365,2.072,2.478,2.08,2.2,2.84
505.15,2.461,2.15,2.371,2.403,2.101,2.516,2.11,2.229,2.892
505.2,2.509,2.182,2.411,2.444,2.133,2.554,2.138,2.26,2.946
505.25,2.559,2.216,2.454,2.49,2.164,2.596,2.167,2.29,3.001
505.3,2.612,2.249,2.498,2.536,2.196,2.634,2.197,2.322,3.061
505.35,2.667,2.283,2.545,2.586,2.231,2.678,2.226,2.353,3.123
505.4,2.725,2.321,2.594,2.637,2.267,2.722,2.257,2.385,3.189
505.45,2.786,2.362,2.643,2.69,2.306,2.768,2.287,2.42,3.258
505.5,2.852,2.402,2.698,2.748,2.344,2.815,2.319,2.455,3.333
505.55,2.919,2.444,2.753,2.806,2.385,2.866,2.353,2.493,3.409
505.6,2.989,2.492,2.812,2.867,2.426,2.919,2.385,2.533,3.488
505.65,3.064,2.539,2.875,2.933,2.47,2.974,2.419,2.573,3.572
505.7,3.143,2.588,2.94,3.001,2.516,3.029,2.455,2.614,3.661
505.75,3.224,2.638,3.011,3.073,2.563,3.09,2.49,2.66,3.754
505.8,3.311,2.69,3.081,3.148,2.617,3.152,2.527,2.705,3.853
