14967.82 0.01
14965.58 0.00
14963.34 0.00
14961.10 0.00
14958.86 0.00
14956.63 0.00
14954.39 0.00
14952.15 0.00
14949.92 0.00
14947.68 0.00
14945.45 0.00
14943.22 0.00
14940.98 0.00
14938.75 0.00
14936.52 0.00
14934.29 0.00
14932.06 0.00
14929.83 0.00
14927.60 0.00
14925.37 0.00
14923.15 0.00
14920.92 0.00
14918.69 0.00
14916.47 0.00
14914.24 0.00
14912.02 0.00
14909.80 0.00
14907.57 0.00
14905.35 0.00
14903.13 0.00
14900.91 0.00
14898.69 0.00
14896.47 0.00
14894.25 0.00
14892.03 0.00
14889.82 0.00
14887.60 0.00
14885.38 0.00
14883.17 0.00
14880.95 0.00
14878.74 0.00
14876.52 0.00
14874.31 0.00
14872.10 0.00
14869.89 0.00
14867.68 0.00
14865.47 0.00
14863.26 0.00
14861.05 0.00
14858.84 0.00
14856.63 0.00
14854.43 0.00
14852.22 0.00
14850.01 0.00
14847.81 0.00
14845.61 0.00
14843.40 0.00
14841.20 0.00
14839.00 0.00
14836.80 0.00
14834.59 0.00
14832.39 0.00
14830.19 0.00
14828.00 0.00
14825.80 0.00
14823.60 0.00
14821.40 0.00
14819.21 0.00
14817.01 0.00
14814.81 0.00
14812.62 0.00
14810.43 0.00
14808.23 0.00
14806.04 0.00
14803.85 0.00
14801.66 0.00
14799.47 0.00
14797.28 0.00
14795.09 0.00
14792.90 0.00
14790.71 0.00
14788.52 0.00
14786.34 0.00
14784.15 0.00
14781.97 0.00
14779.78 0.00
14777.60 0.00
14775.41 0.00
14773.23 0.00
14771.05 0.00
14768.87 0.00
14766.69 0.00
14764.51 0.00
14762.33 0.00
14760.15 0.00
14757.97 0.00
14755.79 0.00
14753.61 0.00
14751.44 0.00
14749.26 0.00
14747.09 0.00
14744.91 0.00
14742.74 0.00
14740.57 0.00
14738.39 0.00
14736.22 0.00
14734.05 0.00
14731.88 0.00
14729.71 0.00
14727.54 0.00
14725.37 0.00
14723.20 0.00
14721.04 0.00
14718.87 0.00
14716.70 0.00
14714.54 0.00
14712.37 0.00
14710.21 0.00
14708.05 0.00
14705.88 0.00
